,prob,human_len,ai_len,crop_time,image_time,similarity,correct
0,0.9999065399169922,9,9,1469,9676.17521170131,1,1
1,0.9843493700027466,11,10,2086,13740.30053887606,0.9523809523809523,1
2,0.5296310782432556,6,6,1248,8220.467436489607,0,1
3,0.37763866782188416,11,9,1692,11145.056812933026,0.5,1
4,0.9999893307685852,7,7,2854,14746.805014245016,1,0
5,0.9042041897773743,11,10,2597,13418.869173789175,0.9523809523809523,0
6,0.6322821378707886,18,7,1645,8499.822792022791,0.56,0
7,0.7948593497276306,18,15,1679,8675.50301994302,0.6666666666666666,0
8,0.45401832461357117,1,4,782,4792.0,0,1
9,0.9289084672927856,4,6,825,3475.9365994236314,0,1
10,0.9287351369857788,4,8,910,3834.0634005763686,0.16666666666666666,1
11,0.33150506019592285,1,3,984,4232.0,0,1
12,0.5999652147293091,11,8,1781,9898.82141907042,0.42105263157894735,1
13,0.9566185474395752,6,6,2510,13950.613004978528,1,0
14,0.9496330618858337,4,4,1902,10571.341010147074,1,0
15,0.29422837495803833,5,7,1875,10421.274655113442,0.5,0
16,0.8473843336105347,14,13,4420,24566.41812032075,0.07407407407407407,1
17,0.9225517511367798,12,12,1677,9320.788051533462,0.08333333333333333,0
18,0.9993196725845337,7,7,1813,10076.677839851023,1,0
19,0.9933204054832458,11,10,1813,10076.677839851023,0.9523809523809523,0
20,0.9952699542045593,7,7,2286,12705.618059514309,1,0
21,0.9763585329055786,7,7,2326,12927.938585490061,1,0
22,0.9807179570198059,19,9,1718,9548.66659065861,0,1
23,0.9481220841407776,9,8,2192,12183.164823471288,0.9411764705882353,0
24,0.8424386978149414,1,3,816,3743.180669474618,0,1
25,0.4771961569786072,1,3,710,3256.934160939925,0,1
26,0.43781983852386475,1,3,685,3142.253380625138,0,1
27,0.36044302582740784,1,13,664,3045.921525160718,0,1
28,0.3694104552268982,1,3,701,3215.6490800266015,0,1
29,0.3842795789241791,1,15,935,4289.061183772999,0,1
30,0.9964954257011414,4,7,1273,5712.160150078988,0,1
31,0.9660475254058838,4,9,762,3419.2191943127964,0,1
32,0.9988307952880859,4,6,2161,9696.762045813586,0.2,1
33,0.9989368319511414,4,6,868,3894.858609794629,0.2,1
34,0.9984938502311707,4,4,1240,4162.102100140445,0.25,0
35,0.9684980511665344,7,7,1263,4239.3023810301465,0.14285714285714285,0
36,0.6402443051338196,6,6,1454,4880.4003658098445,0,0
37,0.8868794441223145,7,7,1287,4319.859195871574,1,0
38,0.9107434749603271,10,8,4614,15487.047653264526,0.1111111111111111,1
39,0.8292950987815857,18,16,1294,4343.3549335336575,0.8235294117647058,0
40,0.6375457048416138,25,17,3510,11781.43417055884,0.047619047619047616,0
41,0.9977983236312866,6,6,4516,15158.107325995363,1,0
42,0.9786751866340637,4,4,2050,6880.894601038638,1,0
43,0.9983611106872559,8,8,2179,11713.644076390063,1,1
44,0.1961917281150818,9,3,1423,7649.617035659963,0.16666666666666666,1
45,0.5713939666748047,10,13,645,3467.3246577657596,0.17391304347826086,1
46,0.9543672204017639,10,9,1670,8977.414230184215,0.7368421052631579,1
47,0.6931310296058655,1,6,1175,5336.0,0,1
48,0.5226141214370728,1,3,751,5583.0,0,1
49,0.9997388124465942,13,12,2431,16636.211172834675,0.96,0
50,0.9565467834472656,13,12,5692,38952.41217432126,0.08,0
51,0.8921283483505249,11,12,2448,16752.54831390345,0.782608695652174,0
52,0.4191184639930725,31,19,3809,26066.362960644703,0.16,0
53,0.9449931383132935,6,7,2284,15630.237070651749,0.9230769230769231,0
54,0.37007346749305725,44,18,4122,28208.335028558016,0.12903225806451613,0
55,0.57500821352005,32,18,3005,20564.300524215632,0.4,0
56,0.9997403621673584,6,6,1771,12119.592754870511,1,0
57,0.9998447299003601,9,7,1770,5012.652021649156,0,1
58,0.5866994857788086,11,13,2152,6094.478616151969,0,1
59,0.9922888875007629,5,8,1652,4678.475220205879,0.15384615384615385,1
60,0.9536892771720886,7,5,3587,10158.408362517244,0.16666666666666666,1
61,0.426104873418808,9,11,1156,3273.7998514273586,0.2,1
62,0.9616374373435974,5,5,3721,10537.897272630797,0,1
63,0.9660602807998657,6,12,1181,3344.600021224663,0,1
64,0.9342018961906433,6,5,1892,5358.156850260002,0,1
65,0.8418329358100891,6,4,1735,4913.53178393293,0,1
66,0.6533370018005371,9,4,1324,13221.556609365738,0.6153846153846154,0
67,0.34556442499160767,31,12,2050,20471.44339063426,0.5581395348837209,1
68,0.8823629021644592,4,8,1250,3952.012501905778,0,1
69,0.8962728977203369,6,11,1188,3755.9926818112517,0,1
70,0.9765512943267822,4,7,1650,5216.656502515627,0.18181818181818182,1
71,0.9996890425682068,4,4,1466,4634.920262235097,0,1
72,0.9907524585723877,4,6,1005,3177.418051532246,0.2,1
73,0.38895395398139954,1,11,1055,5415.0,0,1
74,0.39214059710502625,1,1,2658,7888.0,0,1
75,0.955132246017456,13,12,5014,44669.40595744681,0.16,0
76,0.9981006383895874,11,11,3095,27573.15744680851,0.9090909090909091,0
77,0.9210397005081177,11,11,3044,27118.80170212766,0.9090909090909091,0
78,0.4407709240913391,31,19,2923,26040.820425531914,0.28,0
79,0.9180082082748413,12,11,2809,25025.201702127662,0.8695652173913043,0
80,0.31785935163497925,44,13,4157,37034.44765957447,0.07017543859649122,0
81,0.5562753677368164,32,18,3494,31127.8229787234,0.4,0
82,0.9998412132263184,6,6,2489,22174.342127659573,1,0
83,0.37305915355682373,1,13,1302,4184.0,0,1
