,data_id,crop_id,prob,human_len,ai_len,crop_time,image_time,similarity,correct,orig_image
14,63a43600-1f6b-4f17-a662-f689d4815a27,2,0.9496330618858336,4,4,1902,10571.341010147074,1.0,1,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/9cfbafa3-609c-44a2-bb85-d9408a14e5e5/1570929995595-POP4.jpeg
15,63a43600-1f6b-4f17-a662-f689d4815a27,3,0.29422837495803833,5,7,1875,10421.274655113442,0.5,1,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/9cfbafa3-609c-44a2-bb85-d9408a14e5e5/1570929995595-POP4.jpeg
16,63a43600-1f6b-4f17-a662-f689d4815a27,4,0.8473843336105347,14,13,4420,24566.41812032075,0.07407407407407407,0,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/9cfbafa3-609c-44a2-bb85-d9408a14e5e5/1570929995595-POP4.jpeg
17,63a43600-1f6b-4f17-a662-f689d4815a27,5,0.9225517511367798,12,12,1677,9320.788051533462,0.08333333333333333,1,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/9cfbafa3-609c-44a2-bb85-d9408a14e5e5/1570929995595-POP4.jpeg
18,63a43600-1f6b-4f17-a662-f689d4815a27,6,0.9993196725845336,7,7,1813,10076.677839851025,1.0,1,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/9cfbafa3-609c-44a2-bb85-d9408a14e5e5/1570929995595-POP4.jpeg
19,63a43600-1f6b-4f17-a662-f689d4815a27,7,0.9933204054832458,11,10,1813,10076.677839851025,0.9523809523809524,1,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/9cfbafa3-609c-44a2-bb85-d9408a14e5e5/1570929995595-POP4.jpeg
20,63a43600-1f6b-4f17-a662-f689d4815a27,8,0.9952699542045592,7,7,2286,12705.618059514309,1.0,1,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/9cfbafa3-609c-44a2-bb85-d9408a14e5e5/1570929995595-POP4.jpeg
21,63a43600-1f6b-4f17-a662-f689d4815a27,9,0.9763585329055786,7,7,2326,12927.938585490061,1.0,1,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/9cfbafa3-609c-44a2-bb85-d9408a14e5e5/1570929995595-POP4.jpeg
22,63a43600-1f6b-4f17-a662-f689d4815a27,10,0.980717957019806,19,9,1718,9548.66659065861,0.0,0,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/9cfbafa3-609c-44a2-bb85-d9408a14e5e5/1570929995595-POP4.jpeg
23,63a43600-1f6b-4f17-a662-f689d4815a27,11,0.9481220841407776,9,8,2192,12183.164823471288,0.9411764705882352,1,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/9cfbafa3-609c-44a2-bb85-d9408a14e5e5/1570929995595-POP4.jpeg
24,9bbfc8c0-42c8-44e2-9846-9a4bed0a80d8,0,0.8424386978149414,1,3,816,3743.180669474618,0.0,0,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/5d4b121c-d331-4c64-8811-524a38e3e31b/1571305220329-3.jpeg
